	24	25	26	27	28	32	33	34	36	37	38	40	41	42	43	44	45	46	47	48	75	76	77	78	79	80	81	82	83	84	85	10LD	12LD	13LD	14LD	15LD	16LD	17LD	18LD	19LD	1LD	20LD	21LD	22LD	23LD	2LD	3LD	4LD	6LD	7LD	8LD	9LD
75	0.627013454	0.631369558	0.632933793	0.624039707	0.658444614	0.577354665	0.612634189	0.615553606	0.646222004	0.63864051	0.608143454	0.630380802	0.700183713	0.681205297	0.689591569	0.67676947	0.682422631	0.664292074	0.68097123	0.709795952	0	0.630581855	0.63582197	0.605071287	0.608198191	0.686733688	0.779859456	0.619790231	0.622343249	0.649536747	0.555112039	0.791172996	0.700561974	0.643366857	0.624844643	0.656351216	0.704382138	0.697513149	0.667341091	0.596789257	0.716649524	0.630430539	0.620565492	0.68229666	0.654217608	0.647083293	0.649876016	0.553386291	0.639139227	0.660100729	0.6622372	0.613239058
76	0.637317908	0.6332387	0.64866382	0.595170105	0.649806017	0.590169685	0.619004947	0.615988551	0.619780029	0.649275047	0.628270883	0.582177884	0.661925262	0.659183383	0.63276997	0.664390113	0.657007741	0.642990689	0.692244209	0.630592596	0.630581855	0	0.597902859	0.597516722	0.587578076	0.694731425	0.758406954	0.617731331	0.553421934	0.573572205	0.633585992	0.775093428	0.691535632	0.658042303	0.63260875	0.631688696	0.684095228	0.64187038	0.626714428	0.625543474	0.698794394	0.685988003	0.607530981	0.669473397	0.633341816	0.623096943	0.607547487	0.609467239	0.645227873	0.628949429	0.636138456	0.661143572
77	0.658915227	0.600736271	0.650309539	0.637163723	0.66991261	0.633631965	0.612611864	0.690050205	0.665490373	0.656541459	0.672019513	0.62459092	0.685838637	0.69422591	0.684865618	0.713064181	0.660396841	0.66503336	0.704644235	0.689349345	0.63582197	0.597902859	0	0.656686031	0.645960998	0.689379353	0.741841844	0.614623404	0.606121872	0.600270825	0.590966108	0.762880964	0.708744507	0.651843221	0.661268681	0.652151297	0.699304571	0.692694356	0.676755212	0.657392592	0.664077691	0.670250298	0.657077159	0.655250696	0.656292866	0.651557191	0.654156629	0.608433212	0.651144523	0.67151662	0.683802537	0.651321158
78	0.692927112	0.683491576	0.690202313	0.660747764	0.695734237	0.628395907	0.67046049	0.627058295	0.613590292	0.680970853	0.645464322	0.647049181	0.681081297	0.648337118	0.733243175	0.705612435	0.687450466	0.68638887	0.720498531	0.711592876	0.605071287	0.597516722	0.656686031	0	0.647690176	0.717510615	0.76561953	0.657288345	0.655656905	0.630094118	0.655836481	0.783447212	0.757407043	0.677860786	0.687698823	0.695273579	0.724447276	0.639761772	0.675119197	0.653741716	0.701502929	0.658227725	0.634075949	0.70934901	0.668292998	0.656144424	0.610476562	0.647116808	0.692954989	0.713899008	0.669065563	0.691224303
79	0.645363206	0.667516778	0.665239336	0.626495704	0.667323016	0.601508944	0.617163497	0.647321348	0.680495286	0.672988592	0.646268266	0.63209715	0.662922751	0.675643118	0.664820163	0.649988923	0.695988953	0.63540822	0.675798949	0.692886292	0.608198191	0.587578076	0.645960998	0.647690176	0	0.666412012	0.716868074	0.62269336	0.626114813	0.576635184	0.626547241	0.760470078	0.70101488	0.67223995	0.654503412	0.654716273	0.687190858	0.678566069	0.659542076	0.665815012	0.742794049	0.675876209	0.639324514	0.667740645	0.63385036	0.626630572	0.663728086	0.636059713	0.64618392	0.662406556	0.684471088	0.665662434
80	0.700375783	0.699191975	0.710481004	0.73504393	0.714864233	0.679813421	0.677582072	0.710684613	0.707712566	0.655377865	0.692509623	0.708787379	0.731608694	0.724040968	0.73384551	0.732065471	0.746260382	0.713742585	0.732059586	0.749466633	0.686733688	0.694731425	0.689379353	0.717510615	0.666412012	0	0.684348259	0.714873121	0.686096799	0.656041367	0.696939503	0.762163089	0.773805088	0.729222	0.738774836	0.72914042	0.675832232	0.746388146	0.737725789	0.707166886	0.784856479	0.717285162	0.683341634	0.728901588	0.67970513	0.710810784	0.715527606	0.67132736	0.673802508	0.683894426	0.751566896	0.746942137
81	0.742835232	0.74432751	0.767793166	0.748566031	0.77914402	0.761594606	0.75514095	0.779590381	0.775502508	0.720199198	0.755900245	0.745120577	0.78741407	0.765780543	0.800356508	0.799048747	0.794451293	0.772933286	0.776218172	0.79279699	0.779859456	0.758406954	0.741841844	0.76561953	0.716868074	0.684348259	0	0.716505908	0.738123889	0.725368292	0.760036483	0.805759432	0.79993858	0.778934119	0.765628118	0.770544864	0.759106967	0.795064697	0.76896503	0.786882324	0.798396255	0.778368977	0.746028788	0.798205043	0.737757175	0.771532787	0.749930476	0.730356625	0.715226565	0.749747373	0.808827449	0.807994726
82	0.671637476	0.620082289	0.651348746	0.654811206	0.679925445	0.658959196	0.664303723	0.662893393	0.655111389	0.671601381	0.616448222	0.616270711	0.714400423	0.701911417	0.711213595	0.718515092	0.720615133	0.680896684	0.712886113	0.726383576	0.619790231	0.617731331	0.614623404	0.657288345	0.62269336	0.714873121	0.716505908	0	0.627156241	0.618802725	0.603934534	0.805469206	0.729925975	0.65827232	0.693806668	0.67478458	0.731423434	0.707331283	0.696511425	0.688409556	0.706160134	0.675188286	0.635780739	0.702427728	0.692611674	0.668640591	0.642154739	0.619444735	0.65154876	0.666958879	0.717442821	0.668138692
83	0.6384916	0.641117719	0.663542536	0.646467646	0.653952206	0.620118276	0.630923612	0.643551234	0.644216956	0.6679384	0.624347724	0.619792108	0.690890233	0.674365969	0.663811102	0.681525395	0.66373605	0.679296842	0.680990222	0.668192357	0.622343249	0.553421934	0.606121872	0.655656905	0.626114813	0.686096799	0.738123889	0.627156241	0	0.588125326	0.658371002	0.79498771	0.684839017	0.666942785	0.65934493	0.660223846	0.712274728	0.685692779	0.645723533	0.645299818	0.709496229	0.687976315	0.617525564	0.681541382	0.63223534	0.662945853	0.653927635	0.611247602	0.630241961	0.652568958	0.674965769	0.687200504
84	0.613012099	0.582185913	0.630037505	0.600152139	0.641725911	0.615827135	0.575415758	0.632093859	0.621332204	0.629404705	0.572494048	0.613511072	0.675838046	0.663219021	0.673896471	0.665163928	0.691640902	0.634265953	0.676202937	0.681486523	0.649536747	0.573572205	0.600270825	0.630094118	0.576635184	0.656041367	0.725368292	0.618802725	0.588125326	0	0.63728626	0.785045589	0.696325564	0.68435481	0.650587576	0.670373096	0.717426406	0.666978064	0.655333191	0.653573038	0.692843923	0.631309427	0.591245262	0.655157268	0.633482961	0.616457889	0.613951291	0.609516922	0.629849123	0.624172555	0.674161162	0.672871973
