Sample	Plot	Site	Treatment	Al	B	Ca	Cu	Fe	K	Mg	Mn	P	Zn	Rainfall	pH
125	5	Divisa	High	366.2383243	0.204694986	1856.192031	7.46717992	359.3295237	207.2715552	232.5885547	66.33212312	35.17430397	8.072218596	197.5	7.74
53	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69
55	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69
58	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69
60	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69
61	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69
63	6	Divisa	Low	482.0859588	0.130200707	2832.789879	8.888246101	325.040409	43.38452619	256.9200937	56.37913798	33.54802564	40.77510257	197.5	6.69
54	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52
56	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52
57	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52
59	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52
62	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52
64	6	Divisa	High	516.6798694	0.11636421	2679.48211	9.067036263	309.9384322	52.97149803	254.7898278	73.44745901	42.0758525	30.14599028	197.5	7.52
